Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,비고
,,,,,,,,,,
,,기술 스택 정의,,,,,,,,
-,-,기술 스택,프론트엔드,"Next.js(최신) / React(최신) / TypeScript / App Router",,,,참고 문서,100,확정,"Tailwind X · Redux X"
-,-,기술 스택,프론트 스타일링,"Vanilla CSS Module (.module.css) / 다크모드 X",,,,참고 문서,100,확정,
-,-,기술 스택,프론트 라이브러리,"Zustand(전역상태) / Google Material Icons",,,,참고 문서,100,확정,
-,-,기술 스택,백엔드,"Java 21 / Spring Boot / Gradle / 모놀리식 / BFF 패턴 / Validation 인증",,,,참고 문서,100,확정,"BFF 방식 적용 · Validation 인증 라이브러리 사용"
-,-,기술 스택,백엔드 라이브러리,"H2(DB) / Lombok / JPA·Hibernate ORM / JWT 토큰 인증",,,,참고 문서,100,확정,
-,-,기술 스택,DB·포트,"프론트 3000(dev) 30xx(배포) / 백엔드 8080 / DB 5432",,,,참고 문서,100,확정,"서버 내부 포트 사용"
-,-,기술 스택,배포,"GitHub Actions (yml CI/CD) / application.properties dev·prod 분리",,,,참고 문서,100,확정,
-,-,기술 스택,이미지 저장소,"업로드 이미지: 외부 볼륨 dist/upload / 정적 이미지: frontend/public",,,,참고 문서,100,확정,
-,-,기술 스택,API 접근 규칙,"프론트→백 호출 시 경로에 /api 미포함 (프록시 rewrite)",,,,참고 문서,100,확정,"ex) localhost:8080/menus"
-,-,기술 스택,접근 권한,"MVP 단계에서는 백엔드 접근권한 설정 X — 누구나 접근 가능",,,,참고 문서,100,확정,
-,-,기술 스택,CORS,"프론트(3000) → 백엔드(8080) 호출 허용",,,,참고 문서,100,확정,
,,,,,,,,,,
,,MVP 기능 범위 (최소),,,,,,,,
-,-,MVP 범위,인증,"회원가입 · 로그인 · JWT 인증 (역할: Admin/Host/User)",,,,참고 문서,-,MVP,
-,-,MVP 범위,이벤트,"이벤트 CRUD (Host 본인 것만) · 조회 (All) — 간소화 폼",,,,참고 문서,-,MVP,"세션·5Step 에디터는 확장으로"
-,-,MVP 범위,티켓·결제,"티켓 예매 + 더미 결제 (버튼→즉시 PAID) · 구매 완료 페이지",,,,참고 문서,-,MVP,"실 결제는 확장으로"
-,-,MVP 범위,커뮤니티,"커뮤니티 글 CRUD (본인 글만 수정/삭제) · 조회 (All)",,,,참고 문서,-,MVP,
-,-,MVP 범위,마이페이지,"활동 내역 관리 · 구매/예약 내역 확인",,,,참고 문서,-,MVP,
-,-,MVP 범위,기업/기관 페이지,"기업 프로필 · 주최 이벤트 목록 · 연락처 UI",,,,참고 문서,-,MVP,
-,-,MVP 범위,이미지 업로드,"파일 업로드 API (외부 볼륨 dist/upload)",,,,참고 문서,-,MVP,
-,-,MVP 범위,Admin 회원관리,"전체 회원 리스트 조회 (Admin)",,,,참고 문서,-,MVP,
,,,,,,,,,,
,,확장 기능 범위 (MVP 이후),,,,,,,,
-,-,확장 범위,이벤트 에디터 고도화,"5 Step 에디터 폼 + 세션/프로그램 관리",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,결제 1단계,"포트원 실제 결제 시스템 연동 (PG사 등록 · 승인 · 환불)",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,결제 2단계,"이벤트 중계 수수료 시스템 (정책 · 정산)",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,대기열,"취소 감지 / 대기자 알림 + 타이머 UI",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,뱃지 시스템,"이벤트 완료 시 뱃지 발급 · 뱃지 검색",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,구독·찜,"강사 구독 / 강의 찜 기능",,,,참고 문서,-,Sprint 2,
-,-,확장 범위,스터디 매칭,"수강 완료 후 스터디 자동 매칭",,,,참고 문서,-,Sprint 2,
,,,,,,,,,,
,,애자일 세레모니 규칙,,,,,,,,
-,-,세레모니,데일리 스탠드업,"매일 시작 15분 — 어제 한 일 / 오늘 할 일 / 블로커 공유",,,,회의록,-,매일 반복,"모든 스프린트 공통"
-,-,세레모니,데일리 랩업,"매일 종료 15분 — 오늘 완료 확인 / 내일 계획 / 이슈 정리",,,,회의록,-,매일 반복,"모든 스프린트 공통"
-,-,세레모니,스프린트 플래닝,"스프린트 첫째 날 — 백로그 선정 · 목표 설정 · 태스크 분배",,,,플래닝 기록,-,스프린트 시작 시,"각 스프린트 Day 1"
-,-,세레모니,스프린트 리뷰,"스프린트 마지막 날 — 완성 기능 데모 · 피드백 수집",,,,리뷰 기록,-,스프린트 종료 시,"각 스프린트 마지막 날"
-,-,세레모니,스프린트 회고,"스프린트 마지막 날 — 잘한 점 / 개선할 점 / 액션 아이템",,,,회고 기록,-,스프린트 종료 시,"리뷰 직후 진행"
,,,,,,,,,,
,,휴무일: 3/28(토) 3/29(일) 4/4(토) 4/5(일) 4/11(토) 4/12(일) 4/18(토) 4/19(일),,,,,,,,
,,,,,,,,,,
,,"Sprint 0: 설계 & 인프라 & 인증 (3/27금 ~ 4/3금) — 근무 6일",,,,,,,,
1,Sprint 0,🔵 플래닝,스프린트 플래닝,"Sprint 0 목표: 설계 완료 + 인프라 구축 + 인증 기능 완성",,2026-03-27,2026-03-27,플래닝 기록,0,진행 전,"Day 1"
2,Sprint 0,설계,기획/요구사항,"MVP 요구사항 명세서 확정 (최소 기능 범위)",,2026-03-27,2026-03-27,명세서,0,진행 전,"Day 1"
3,Sprint 0,설계,화면설계,"MVP 화면 설계서 / UI 레퍼런스 확정",,2026-03-27,2026-03-27,화면설계서,0,진행 전,"Day 1"
,,,,,,,,,,,"","휴무 3/28(토) 3/29(일)"
4,Sprint 0,설계,ERD,"DB ERD 설계 및 검증 (MVP Entity만)",,2026-03-30,2026-03-30,ERD 문서,0,진행 전,"Day 2 · MVP 테이블만 우선"
5,Sprint 0,설계,API 설계,"MVP API 엔드포인트 스펙 정의 (경로에 /api 미포함)",,2026-03-30,2026-03-30,API 명세서,0,진행 전,"Day 2"
6,Sprint 0,인프라,백엔드 초기화,"Spring Boot 프로젝트 생성 (Java 21 / Gradle / H2 / JPA / Lombok / JWT)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3"
7,Sprint 0,인프라,프론트 초기화,"Next.js 프로젝트 생성 (App Router / TypeScript / Vanilla CSS Module)",,2026-03-31,2026-03-31,프로젝트 구조,0,진행 전,"Day 3 · Zustand · Material Icons"
8,Sprint 0,인프라,CORS · 설정 파일,"CORS 설정 (localhost:3000 허용) + application.properties dev·prod 분리",,2026-03-31,2026-03-31,설정 파일,0,진행 전,"Day 3"
9,Sprint 0,공통,JPA Entity + 이니셜라이저,"MVP Entity 매핑 + DataInitializer 초기 데이터 삽입",,2026-04-01,2026-04-01,Entity + 초기 데이터,0,진행 전,"Day 4 · H2 콘솔 검증"
10,Sprint 0,공통,공통 레이아웃 (FE),"layout.tsx / Header / Footer / 글로벌 CSS 변수 + Zustand + API 프록시",,2026-04-01,2026-04-01,UI 베이스 + 설정,0,진행 전,"Day 4"
11,Sprint 0,공통,이미지 업로드 API (BE),"파일 업로드 API — 저장 경로: 외부 볼륨 dist/upload",,2026-04-02,2026-04-02,Upload API,0,진행 전,"Day 5 · 정적→frontend/public"
12,Sprint 0,인증 기능,User API (BE),"회원가입 / 로그인 API (JWT 발급) — 역할: Admin·Host·User 구분",,2026-04-02,2026-04-02,User API,0,진행 전,"Day 5 · 접근권한 설정 X"
13,Sprint 0,인증 기능,로그인/가입 페이지 (FE),"로그인 · 회원가입(역할 선택) UI + API 연동 (JWT 저장)",,2026-04-02,2026-04-02,UI 화면,0,진행 전,"Day 5"
14,Sprint 0,인증 기능,인증 연동 검증,"회원가입→로그인→JWT 발급→인증 상태 유지 E2E 확인",,2026-04-03,2026-04-03,테스트 결과,0,진행 전,"Day 6"
15,Sprint 0,인프라,GitHub Actions 배포,"CI/CD 워크플로우 yml 작성 (빌드→배포)",,2026-04-03,2026-04-03,deploy.yml,0,진행 전,"Day 6"
16,Sprint 0,🟢 리뷰/회고,스프린트 리뷰 & 회고,"설계 산출물 + 인프라 + 인증 데모 + 회고",,2026-04-03,2026-04-03,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,"","휴무 4/4(토) 4/5(일)"
,,,,,,,,,,
,,"Sprint 1: 이벤트 & 커뮤니티 & 마이페이지 MVP (4/6월 ~ 4/9목) — 근무 4일 — 🎯 MVP",,,,,,,,
17,Sprint 1,🔵 플래닝,스프린트 플래닝,"Sprint 1 목표: 이벤트+더미결제+커뮤니티+마이페이지+기업+Admin → MVP 완성",,2026-04-06,2026-04-06,플래닝 기록,0,진행 전,"Day 1"
18,Sprint 1,이벤트,Event API (BE),"이벤트 CRUD + 티켓 CRUD API (Host 본인 것만 수정/삭제)",,2026-04-06,2026-04-06,Event API,0,진행 전,"Day 1 · 세션 관리는 확장으로"
19,Sprint 1,이벤트,메인 홈 (FE),"이벤트 목록 / 검색 / 카드 UI + API 연동",,2026-04-06,2026-04-06,UI 화면,0,진행 전,"Day 1"
20,Sprint 1,이벤트,이벤트 상세 + 간소화 등록 폼 (FE),"이벤트 상세 UI + 간소화 등록 폼 (제목/설명/날짜/장소/티켓) + API 연동",,2026-04-07,2026-04-07,UI 화면,0,진행 전,"Day 2 · 5Step 에디터는 확장으로"
21,Sprint 1,이벤트·결제,더미 결제 (BE+FE),"주문 API + 더미 결제 (버튼→즉시 PAID) + 구매 완료 페이지",,2026-04-07,2026-04-07,Order API + UI,0,진행 전,"Day 2 · Mock 결제"
22,Sprint 1,커뮤니티,Community · Post API (BE),"커뮤니티 CRUD + 게시글 CRUD API (본인 글만 수정/삭제)",,2026-04-08,2026-04-08,Community API,0,진행 전,"Day 3"
23,Sprint 1,커뮤니티,커뮤니티/게시판 UI (FE),"커뮤니티 목록 · 게시글 목록 · 글작성 UI + API 연동",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
24,Sprint 1,마이페이지,마이페이지 UI (FE),"활동 내역 관리 · 구매/예약 내역 확인 UI + API 연동",,2026-04-08,2026-04-08,UI 화면,0,진행 전,"Day 3"
25,Sprint 1,기업 페이지,기업/기관 페이지 (BE+FE),"기업 프로필 + 주최 이벤트 목록 + 연락처 API & UI",,2026-04-09,2026-04-09,UI 화면,0,진행 전,"Day 4"
26,Sprint 1,Admin,Admin 회원관리 (BE+FE),"전체 회원 리스트 조회 API + 관리 UI (Admin 전용)",,2026-04-09,2026-04-09,Admin 화면,0,진행 전,"Day 4"
27,Sprint 1,MVP 통합,MVP E2E 검증 + 버그 픽스,"전체 시나리오 (가입→이벤트→더미결제→커뮤니티→마이페이지→기업→Admin) E2E",,2026-04-09,2026-04-09,테스트 결과,0,진행 전,"Day 4 · 🎯 MVP 완성"
28,Sprint 1,🟢 리뷰/회고,스프린트 리뷰 & 회고,"MVP 전체 데모 + 피드백 + 회고 · MVP 완성 판정",,2026-04-09,2026-04-09,리뷰/회고 기록,0,진행 전,"Day 4 · 🎯 MVP 마일스톤"
,,,,,,,,,,,"","휴무 4/11(토) 4/12(일)"
,,,,,,,,,,
,,"Sprint 2: 확장 기능 & 고도화 (4/10금 ~ 4/17금) — 근무 6일",,,,,,,,
29,Sprint 2,🔵 플래닝,스프린트 플래닝,"Sprint 2 목표: 결제 고도화 + 에디터 고도화 + 확장 기능 + 배포 안정화",,2026-04-10,2026-04-10,플래닝 기록,0,진행 전,"Day 1 · 우선순위 기반 백로그 선정"
30,Sprint 2,확장,이벤트 에디터 고도화 (FE),"5 Step 에디터 폼 + 세션/프로그램 관리 API & UI",,2026-04-10,2026-04-10,UI 화면,0,진행 전,"Day 1 · 간소화→5Step 전환"
31,Sprint 2,결제 1단계,포트원 결제 연동 (BE+FE),"포트원 PG 등록 · 결제 승인 · 환불 API + 결제 UI 연동",,2026-04-13,2026-04-13,Payment API + UI,0,진행 전,"Day 2 · 더미→실 결제"
32,Sprint 2,결제 2단계,수수료 시스템 (BE+FE),"이벤트 중계 수수료 정책 · 수수료 계산 · 정산 관리",,2026-04-14,2026-04-14,수수료 시스템,0,진행 전,"Day 3"
33,Sprint 2,확장,대기열 + 뱃지 (BE+FE),"대기열 알림 시스템 + 뱃지 자동 발급 · 검색",,2026-04-15,2026-04-15,확장 기능,0,진행 전,"Day 4"
34,Sprint 2,확장,구독·찜 + 스터디 매칭 (BE+FE),"강사 구독 / 찜 기능 + 스터디 자동 매칭",,2026-04-16,2026-04-16,확장 기능,0,진행 전,"Day 5"
35,Sprint 2,통합,버그 픽스 + 배포 검증,"전체 오류 수정 · 배포 파이프라인 최종 테스트",,2026-04-17,2026-04-17,배포 환경,0,진행 전,"Day 6"
36,Sprint 2,🟢 리뷰/회고,스프린트 리뷰 & 회고,"확장 기능 데모 + 전체 회고",,2026-04-17,2026-04-17,리뷰/회고 기록,0,진행 전,"Day 6"
,,,,,,,,,,,"","휴무 4/18(토) 4/19(일)"
,,,,,,,,,,
,,"Sprint 3: 시연 준비 & 발표 (4/20월) — 근무 1일 — 🎯 D-Day",,,,,,,,
37,Sprint 3,시연 준비,최종 점검,"최종 데모 서버 반영 · 데이터 세팅 · 발표 리허설",,2026-04-20,2026-04-20,데모 환경,0,진행 전,
38,Sprint 3,🎯 발표,프로젝트 발표,"최종 프로젝트 발표 및 시연",,2026-04-20,2026-04-20,발표 자료,0,진행 전,"🎯 D-Day"

