Task,시작일,목표 종료일,Status,3월,,,4월,,,,,,,,,,,,,
,,,,27일,30일,31일,1일,2일,3일,6일,7일,8일,9일,10일,13일,14일,15일,16일,17일,20일
Sprint 0,2026-03-27,2026-04-03,진행 전,■,■,■,■,■,■,,,,,,,,,,,
  플래닝,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    스프린트 플래닝,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
  설계,2026-03-27,2026-03-30,진행 전,■,■,,,,,,,,,,,,,,,
    기획/요구사항,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    화면설계,2026-03-27,2026-03-27,진행 전,■,,,,,,,,,,,,,,,,
    ERD,2026-03-30,2026-03-30,진행 전,,■,,,,,,,,,,,,,,,
    API 설계,2026-03-30,2026-03-30,진행 전,,■,,,,,,,,,,,,,,,
  인프라,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
    백엔드 초기화,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
    프론트 초기화,2026-03-31,2026-03-31,진행 전,,,■,,,,,,,,,,,,,,
  공통,2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
    JPA Entity + 이니셜라이저,2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
    레이아웃 (FE),2026-04-01,2026-04-01,진행 전,,,,■,,,,,,,,,,,,,
  인증/사용자 관리,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    회원등록,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    로그인,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    토큰,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    로그아웃,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
    호스트,2026-04-02,2026-04-02,진행 전,,,,,■,,,,,,,,,,,,
  리뷰/회고,2026-04-03,2026-04-03,진행 전,,,,,,■,,,,,,,,,,,
    스프린트 리뷰 & 회고,2026-04-03,2026-04-03,진행 전,,,,,,■,,,,,,,,,,,
Sprint 1,2026-04-06,2026-04-09,진행 전,,,,,,,■,■,■,■,,,,,,,
  플래닝,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    스프린트 플래닝,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  이벤트 관리,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    목록,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    상세,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  메인 홈,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
    목록,2026-04-06,2026-04-06,진행 전,,,,,,,■,,,,,,,,,,
  이벤트 생성/수정,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    Step 1,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    Step 2,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    Step 4,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    게시,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
    수정,2026-04-07,2026-04-07,진행 전,,,,,,,,■,,,,,,,,,
  커뮤니티,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    목록,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    상세,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    옵션,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
  결제/장바구니,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    더미결제,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    실패,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    결제완료,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    기타,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
  마이페이지,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
    프로필,2026-04-08,2026-04-08,진행 전,,,,,,,,,■,,,,,,,,
  호스트,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
    센터,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
    이벤트,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
  어드민,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
    대시보드,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
    유저,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
  리뷰/회고,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
    스프린트 리뷰 & 회고,2026-04-09,2026-04-09,진행 전,,,,,,,,,,■,,,,,,,
Sprint 2,2026-04-10,2026-04-17,진행 전,,,,,,,,,,,■,■,■,■,■,■,
  플래닝,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
    스프린트 플래닝,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
  결제/장바구니,2026-04-10,2026-04-16,진행 전,,,,,,,,,,,■,■,■,■,■,,
    토스결제,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
    결제완료,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
    환불,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
    장바구니,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
  인증/사용자 관리,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
    소셜,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
    비밀번호,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
    호스트,2026-04-10,2026-04-10,진행 전,,,,,,,,,,,■,,,,,,
  이벤트 관리,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
    필터,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
    특징,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
    상세,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
  이벤트 생성/수정,2026-04-13,2026-04-14,진행 전,,,,,,,,,,,,■,■,,,,
    에디터,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
    Step 1,2026-04-13,2026-04-13,진행 전,,,,,,,,,,,,■,,,,,
    Step 2,2026-04-14,2026-04-14,진행 전,,,,,,,,,,,,,■,,,,
    Step 3,2026-04-14,2026-04-14,진행 전,,,,,,,,,,,,,■,,,,
    Step 4,2026-04-14,2026-04-14,진행 전,,,,,,,,,,,,,■,,,,
    기타,2026-04-14,2026-04-14,진행 전,,,,,,,,,,,,,■,,,,
  커뮤니티,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    옵션,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    상호작용,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    관리,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    생성,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    수정,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    에디터,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
    북마크,2026-04-15,2026-04-15,진행 전,,,,,,,,,,,,,,■,,,
  리뷰 시스템,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
    CRUD,2026-04-16,2026-04-16,진행 전,,,,,,,,,,,,,,,■,,
  알림 시스템,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    기반,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    목록,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    제어,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    UI,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
  마이페이지,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    주문,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    프로필,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
  리뷰/회고,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
    스프린트 리뷰 & 회고,2026-04-17,2026-04-17,진행 전,,,,,,,,,,,,,,,,■,
Sprint 3,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
  시연 준비,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
    통합 테스트,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
    버그 픽스,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
  발표,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
    프로젝트 발표,2026-04-20,2026-04-20,진행 전,,,,,,,,,,,,,,,,,■
