Task ID,Sprint,대분류,중분류,작업 내용,담당자,시작일,종료일,산출물,진척도(%),상태,MoSCoW,비고
R-001,Sprint 2,리뷰 시스템,CRUD,수강 후 리뷰 작성 (별점+텍스트),BE+FE,2026-04-16,2026-04-16,UI/API,0,진행 전,S,Day 5
R-002,Sprint 2,리뷰 시스템,CRUD,리뷰 작성 자격 검증,BE,2026-04-16,2026-04-16,API,0,진행 전,S,Day 5
R-003,Sprint 2,리뷰 시스템,CRUD,리뷰 중복 방지 (1인 1리뷰),BE,2026-04-16,2026-04-16,API,0,진행 전,S,Day 5
R-004,Sprint 2,리뷰 시스템,CRUD,리뷰 수정/삭제,BE+FE,2026-04-16,2026-04-16,UI/API,0,진행 전,S,Day 5
P-006,Sprint 2,결제/장바구니,결제완료,결제 완료 페이지 고도화 (상세 내역),FE,2026-04-16,2026-04-16,UI,0,진행 전,S,Day 5
P-008,Sprint 2,결제/장바구니,환불,환불 요청,BE+FE,2026-04-16,2026-04-16,UI/API,0,진행 전,S,Day 5
P-010,Sprint 2,결제/장바구니,장바구니,수강 바구니 (장바구니),BE+FE,2026-04-16,2026-04-16,UI/API,0,진행 전,S,Day 5
P-011,Sprint 2,결제/장바구니,장바구니,장바구니 수량 변경/삭제,FE,2026-04-16,2026-04-16,UI,0,진행 전,S,Day 5
P-012,Sprint 2,결제/장바구니,장바구니,장바구니 일괄 결제,BE+FE,2026-04-16,2026-04-16,UI/API,0,진행 전,S,Day 5
N-001,Sprint 2,알림 시스템,기반,알림 테이블/API 설계,BE,2026-04-17,2026-04-17,API,0,진행 전,S,Day 6
N-002,Sprint 2,알림 시스템,목록,알림 목록 (쌓이는 방식),BE+FE,2026-04-17,2026-04-17,UI/API,0,진행 전,S,Day 6
N-008,Sprint 2,알림 시스템,제어,알림 읽음/안읽음 처리,BE+FE,2026-04-17,2026-04-17,UI/API,0,진행 전,S,Day 6
N-009,Sprint 2,알림 시스템,UI,헤더 알림 아이콘 + 미확인 카운트,FE+BE,2026-04-17,2026-04-17,UI/API,0,진행 전,S,Day 6
MY-003,Sprint 2,마이페이지,주문,결제 내역 페이지,BE+FE,2026-04-17,2026-04-17,UI/API,0,진행 전,M,Day 6
MY-017,Sprint 2,마이페이지,프로필,프로필 설정: 비밀번호 변경,BE+FE,2026-04-17,2026-04-17,UI/API,0,진행 전,M,Day 6
-,Sprint 2,🟢 리뷰/회고,스프린트 리뷰 & 회고,Sprint 2 리뷰,,2026-04-17,2026-04-17,리뷰/회고 기록,0,진행 전,-,Day 6
,,,,,,,,,,,,휴무 4/18(토) 4/19(일)
,,,,,,,,,,,,
,,Sprint 3: 시연 준비 & 발표 (4/20) - 🎯 D-Day,,,,,,,,,,
-,Sprint 3,시연 준비,통합 테스트,최종 E2E 점검,,2026-04-20,2026-04-20,데모 환경,0,진행 전,-,Day 1
-,Sprint 3,시연 준비,버그 픽스,배포 안정화,,2026-04-20,2026-04-20,배포 환경,0,진행 전,-,Day 1
-,Sprint 3,🎯 발표,프로젝트 발표,최종 프로젝트 발표 및 시연,,2026-04-20,2026-04-20,발표 자료,0,진행 전,-,Day 1
,,,,,,,,,,,,
,,Post-Sprint (향후 과제) - C (Could Have) / W (Won't Have),,,,,,,,,,
E-005,-,이벤트 관리,목록,정렬 옵션 (최신/인기/가격/평점),BE+FE,-,-,UI/API,0,진행 전,C,-
E-013,-,이벤트 관리,상세,관련 강의 추천,BE+FE,-,-,UI/API,0,진행 전,C,-
E-014,-,이벤트 관리,상세,소셜 공유 버튼,FE,-,-,UI,0,진행 전,C,-
EC-013,-,이벤트 생성/수정,Step 4,Step 4: 패키지 강의 등록,BE+FE,-,-,UI/API,0,진행 전,C,-
EC-019,-,이벤트 생성/수정,기타,Published 상태 필드 변경 경고,FE,-,-,UI,0,진행 전,C,-
R-005,-,리뷰 시스템,어드민,어드민 리뷰 관리 (숨김/삭제/수정),BE+FE,-,-,UI/API,0,진행 전,C,-
R-006,-,리뷰 시스템,기능,리뷰 좋아요,BE+FE,-,-,UI/API,0,진행 전,C,-
R-007,-,리뷰 시스템,기능,리뷰 사진 첨부,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-010,-,커뮤니티,인기글,인기글 기능,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-011,-,커뮤니티,인기글,인기글 기준 설정 (관리자),BE+FE,-,-,UI/API,0,진행 전,C,-
CM-012,-,커뮤니티,건의,건의 버튼 (호스트/어드민 요청),FE+BE,-,-,UI/API,0,진행 전,C,-
CM-013,-,커뮤니티,권한,뱃지 기반 읽기/쓰기 권한,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-014,-,커뮤니티,검색,게시물 검색,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-015,-,커뮤니티,목록,멤버 목록 + 권한 표시,FE,-,-,UI,0,진행 전,C,-
CM-019,-,커뮤니티,오픈 설정,어드민 컨펌 후 개설,BE,-,-,API,0,진행 전,C,-
CM-021,-,커뮤니티,관리자,사용자 상태 리스트 (관리자 뷰),BE+FE,-,-,UI/API,0,진행 전,C,-
CM-022,-,커뮤니티,관리자,사용자 권한 변경,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-024,-,커뮤니티,인기,인기 커뮤니티 섹션,BE+FE,-,-,UI/API,0,진행 전,C,-
CM-025,-,커뮤니티,추천,뱃지 기반 커뮤니티 매칭 추천,BE+FE,-,-,UI/API,0,진행 전,C,-
P-009,-,결제/장바구니,수단등록,결제 수단 등록,BE+FE,-,-,UI/API,0,진행 전,C,-
P-013,-,결제/장바구니,유지,장바구니 비로그인 유지,FE,-,-,UI,0,진행 전,C,-
P-014,-,결제/장바구니,메일,결제 확인 이메일 발송,BE,-,-,API,0,진행 전,C,-
MY-008,-,마이페이지,이벤트,수강 완료 탭: 뱃지 표시,FE,-,-,UI,0,진행 전,C,-
MY-019,-,마이페이지,프로필,프로필 설정: 뱃지 노출 여부,BE+FE,-,-,UI/API,0,진행 전,C,-
MY-020,-,마이페이지,프로필,프로필 설정: 계정 탈퇴,BE+FE,-,-,UI/API,0,진행 전,C,-
MY-021,-,마이페이지,대시보드,대시보드 요약 카드,FE,-,-,UI,0,진행 전,C,-
N-003,-,알림 시스템,유형,알림: 내 게시물 댓글,BE,-,-,API,0,진행 전,S,-
N-004,-,알림 시스템,유형,알림: 강의 관련 (일정 변경 등),BE,-,-,API,0,진행 전,S,-
N-005,-,알림 시스템,제재,알림: 제재 내역,BE,-,-,API,0,진행 전,S,-
N-006,-,알림 시스템,유형,알림: 결제 관련,BE,-,-,API,0,진행 전,S,-
N-007,-,알림 시스템,처리결과,알림: 내 신고 처리 결과,BE,-,-,API,0,진행 전,S,-
N-010,-,알림 시스템,설정,알림 설정 (카테고리별 On/Off),BE+FE,-,-,UI/API,0,진행 전,C,-
H-006,-,호스트,이벤트,수강생 현황 표시,FE,-,-,UI,0,진행 전,S,-
H-007,-,호스트,결제관리,호스트 결제 내역 목록,BE+FE,-,-,UI/API,0,진행 전,S,-
H-008,-,호스트,결제관리,이벤트별 결제 필터,FE,-,-,UI,0,진행 전,S,-
H-009,-,호스트,결제관리,호스트 지정 환불 처리,BE+FE,-,-,UI/API,0,진행 전,S,-
H-010,-,호스트,결제관리,환불 사유 입력 + 이력 조회,BE+FE,-,-,UI/API,0,진행 전,S,-
H-011,-,호스트,게시판,호스트 요청 게시판,BE+FE,-,-,UI/API,0,진행 전,C,-
H-012,-,호스트,게시판,요청 카테고리 선택,FE,-,-,UI,0,진행 전,C,-
H-013,-,호스트,게시판,요청 상태 추적,BE+FE,-,-,UI/API,0,진행 전,C,-
H-015,-,호스트,대시보드,매출 차트/통계,FE,-,-,UI,0,진행 전,C,-
AD-007,-,어드민,유저,회원 경고,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-008,-,어드민,유저,회원 정지 (일시/영구),BE+FE,-,-,UI/API,0,진행 전,S,-
AD-009,-,어드민,유저,권한 수정 (USER↔HOST↔ADMIN),BE+FE,-,-,UI/API,0,진행 전,S,-
AD-010,-,어드민,유저,정지 이력 관리,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-011,-,어드민,카테고리,카테고리 CRUD,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-012,-,어드민,카테고리,카테고리 사용 현황,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-013,-,어드민,카테고리,관심 카테고리 관리,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-014,-,어드민,카테고리,관심 카테고리 통계,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-015,-,어드민,신고,신고 목록 (필터),BE+FE,-,-,UI/API,0,진행 전,M,-
AD-016,-,어드민,신고,신고 상세/처리,BE+FE,-,-,UI/API,0,진행 전,M,-
AD-017,-,어드민,신고,신고 처리 단계 관리,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-018,-,어드민,신고,제재 상태 관리,BE+FE,-,-,UI/API,0,진행 전,S,-
AD-019,-,어드민,신고,이의 제기 게시판,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-020,-,어드민,신고,신고 이력 추적,BE,-,-,API,0,진행 전,S,-
AD-021,-,어드민,요청관리,커뮤니티 개설 요청 리스트,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-022,-,어드민,요청관리,요청 승인/거절,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-023,-,어드민,요청페이지,어드민 요청 페이지,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-024,-,어드민,요청페이지,요청 카테고리별 필터,FE,-,-,UI,0,진행 전,C,-
AD-025,-,어드민,요청페이지,요청 처리 (승인/거절),BE+FE,-,-,UI/API,0,진행 전,C,-
AD-026,-,어드민,관리,리뷰 관리 (CRUD),BE+FE,-,-,UI/API,0,진행 전,C,-
AD-027,-,어드민,결제,환불 목록 (긴급 우선),BE+FE,-,-,UI/API,0,진행 전,M,-
AD-028,-,어드민,결제,환불 승인/거절,BE+FE,-,-,UI/API,0,진행 전,M,-
AD-029,-,어드민,커뮤니티,커뮤니티 제재 관리,BE+FE,-,-,UI/API,0,진행 전,C,-
AD-030,-,어드민,통계,실시간 통계 차트,FE,-,-,UI,0,진행 전,C,-
AD-031,-,어드민,관리,강의 관리 (숨김/삭제),BE+FE,-,-,UI/API,0,진행 전,S,-
AD-032,-,어드민,관리,콘텐츠 관리 (게시글/댓글 숨김),BE+FE,-,-,UI/API,0,진행 전,S,-
B-001,-,뱃지 시스템,발급,뱃지 자동 발급 (수강 완료 시),BE,-,-,API,0,진행 전,C,-
B-002,-,뱃지 시스템,목록,내 뱃지 목록 조회,BE+FE,-,-,UI/API,0,진행 전,C,-
B-003,-,뱃지 시스템,연결,뱃지 → 강의 상세 연결,FE,-,-,UI,0,진행 전,C,-
B-004,-,뱃지 시스템,설정,뱃지 노출 여부 설정,BE+FE,-,-,UI/API,0,진행 전,C,-
B-005,-,뱃지 시스템,매칭,뱃지 기반 커뮤니티 매칭,BE+FE,-,-,UI/API,0,진행 전,W,-
B-006,-,뱃지 시스템,검색,뱃지 보유자 검색 (다중 필터),BE+FE,-,-,UI/API,0,진행 전,C,-
B-007,-,뱃지 시스템,초대,뱃지 보유자 초대,BE+FE,-,-,UI/API,0,진행 전,C,-
B-008,-,뱃지 시스템,프라이버시,프라이버시 보호 (비공개 제외),BE,-,-,API,0,진행 전,C,-
B-009,-,뱃지 시스템,개설,뱃지 기반 커뮤니티 개설,BE+FE,-,-,UI/API,0,진행 전,W,-
UP-001,-,사용자 공개 프로필,기본,공개 프로필 기본 정보,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-002,-,사용자 공개 프로필,목록,보유 뱃지 목록 표시,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-003,-,사용자 공개 프로필,활동내역,활동 내역: 작성한 글,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-004,-,사용자 공개 프로필,활동내역,활동 내역: 작성한 댓글,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-005,-,사용자 공개 프로필,활동내역,활동 내역: 작성한 리뷰,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-006,-,사용자 공개 프로필,활동내역,활동 내역: 참여 커뮤니티,BE+FE,-,-,UI/API,0,진행 전,C,-
UP-007,-,사용자 공개 프로필,버튼,커뮤니티 초대 버튼,FE,-,-,UI,0,진행 전,C,-
UP-008,-,사용자 공개 프로필,버튼,사용자 신고 버튼,FE+BE,-,-,UI/API,0,진행 전,C,-
UP-009,-,사용자 공개 프로필,통계,활동 통계 요약 카드,FE,-,-,UI,0,진행 전,W,-
NB-001,-,공지/게시판,공지,전체 통합 공지 게시판,BE+FE,-,-,UI/API,0,진행 전,C,-
NB-002,-,공지/게시판,카테고리,공지 카테고리 분류,FE,-,-,UI,0,진행 전,C,-
NB-003,-,공지/게시판,이의제기,신고 이의 제기 게시판,BE+FE,-,-,UI/API,0,진행 전,C,-
NB-004,-,공지/게시판,요청,요청 게시판 (호스트용),BE+FE,-,-,UI/API,0,진행 전,C,-
NB-005,-,공지/게시판,요청,커뮤니티 관리자 요청 페이지,BE+FE,-,-,UI/API,0,진행 전,C,-
NB-006,-,공지/게시판,알림,공지 알림 연동,BE,-,-,API,0,진행 전,W,-
MH-003,-,메인 홈,목록,관심 카테고리 기반 이벤트 노출,BE+FE,-,-,UI/API,0,진행 전,S,-
MH-004,-,메인 홈,배너,전체 통합 공지 배너,FE,-,-,UI,0,진행 전,S,-
MH-005,-,메인 홈,히스토리,최근 본 이벤트,FE,-,-,UI,0,진행 전,C,-
MH-006,-,메인 홈,추천,추천 이벤트 (뱃지 기반),BE+FE,-,-,UI/API,0,진행 전,W,-
RP-001,-,신고 데이터 모델,API,신고 생성 API (유저),BE,-,-,API,0,진행 전,M,-
RP-002,-,신고 데이터 모델,API,내 신고 내역 조회,BE,-,-,API,0,진행 전,S,-
RP-003,-,신고 데이터 모델,상세분류,신고 사유 상세 분류,BE,-,-,API,0,진행 전,S,-
RP-004,-,신고 데이터 모델,처리단계,신고 처리 단계 (4단계),BE,-,-,API,0,진행 전,S,-
RP-005,-,신고 데이터 모델,상태관리,제재 상태 관리 스키마,BE,-,-,API,0,진행 전,S,-
RP-006,-,신고 데이터 모델,이력관리,신고 이력 저장,BE,-,-,API,0,진행 전,S,-
RP-007,-,신고 데이터 모델,알림,제재 알림 발송,BE,-,-,API,0,진행 전,S,-
MY-004,-,마이페이지,주문,결제 내역 상세 보기,FE,-,-,UI,0,진행 전,S,-
MY-005,-,마이페이지,주문,환불 신청 버튼,FE,-,-,UI,0,진행 전,S,-
MY-006,-,마이페이지,이벤트,내 강의 관리 (수강중/완료 탭),BE+FE,-,-,UI/API,0,진행 전,M,-
MY-007,-,마이페이지,이벤트,수강 중 탭: 강의 입장 버튼,FE,-,-,UI,0,진행 전,S,-
MY-009,-,마이페이지,이벤트,수강 완료 탭: 리뷰 작성 유도,FE,-,-,UI,0,진행 전,S,-
MY-010,-,마이페이지,찜/장바구니,찜 목록 페이지,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-011,-,마이페이지,찜/장바구니,찜 해제 + 장바구니 담기,FE,-,-,UI,0,진행 전,S,-
MY-012,-,마이페이지,커뮤니티,내 커뮤니티: 탭 1 - 참여 중,BE+FE,-,-,UI/API,0,진행 전,M,-
MY-013,-,마이페이지,커뮤니티,내 커뮤니티: 탭 2 - 커뮤니티 북마크,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-014,-,마이페이지,커뮤니티,내 커뮤니티: 탭 3 - 내가 쓴 게시물,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-015,-,마이페이지,커뮤니티,내 커뮤니티: 탭 4 - 게시물 북마크,BE+FE,-,-,UI/API,0,진행 전,S,-
MY-018,-,마이페이지,프로필,프로필 설정: 관심 카테고리 등록,BE+FE,-,-,UI/API,0,진행 전,S,-
